title,author,genres,description
To Kill a Mockingbird,Harper Lee,"fiction, classic, historical","A young girl in the American South witnesses her father defend a Black man accused of a crime, confronting racial injustice and moral growth."
1984,George Orwell,"fiction, dystopian, science-fiction, classic","In a totalitarian society under constant surveillance, a man begins to question the regime and seeks truth and freedom."
Pride and Prejudice,Jane Austen,"fiction, romance, classic","The spirited Elizabeth Bennet navigates love, class, and family in Regency-era England when she meets the proud Mr. Darcy."
The Great Gatsby,F. Scott Fitzgerald,"fiction, classic, literary","A mysterious millionaire throws lavish parties in 1920s New York, hiding a desperate longing for a lost love."
The Hobbit,J.R.R. Tolkien,"fiction, fantasy, adventure, classic","A reluctant hobbit is swept into an epic quest to reclaim a treasure guarded by a fearsome dragon."
Harry Potter and the Sorcerer's Stone,J.K. Rowling,"fiction, fantasy, adventure, young-adult","An orphaned boy discovers he is a wizard and enters a magical school where he uncovers a dark mystery."
The Catcher in the Rye,J.D. Salinger,"fiction, classic, literary, coming-of-age","A disaffected teenager wanders New York City after being expelled from prep school, reflecting on phoniness and loss."
The Lord of the Rings,J.R.R. Tolkien,"fiction, fantasy, adventure, epic, classic","A young hobbit must carry a powerful ring across a vast world to destroy it and save civilization from darkness."
Brave New World,Aldous Huxley,"fiction, dystopian, science-fiction, classic","In a future society engineered for pleasure and stability, one man questions the cost of a world without pain or freedom."
The Hunger Games,Suzanne Collins,"fiction, dystopian, science-fiction, adventure, young-adult","A teenage girl volunteers as tribute in a televised death match, sparking a rebellion against a tyrannical government."
Dune,Frank Herbert,"fiction, science-fiction, adventure, epic","On a desert planet, a young noble must navigate political intrigue and ancient prophecies to control the most valuable substance in the universe."
The Name of the Wind,Patrick Rothfuss,"fiction, fantasy, adventure, epic","A legendary figure recounts his journey from orphaned street urchin to the most notorious wizard of his age."
Ender's Game,Orson Scott Card,"fiction, science-fiction, adventure, young-adult","A brilliant child is recruited to a military academy in space, trained to lead humanity's war against an alien threat."
The Da Vinci Code,Dan Brown,"fiction, mystery, thriller","A symbologist and a cryptographer race to unravel a trail of clues hidden in the works of Leonardo da Vinci."
Gone Girl,Gillian Flynn,"fiction, mystery, thriller, psychological","When a woman disappears on her wedding anniversary, the investigation reveals dark secrets and shifting truths in a toxic marriage."
The Girl with the Dragon Tattoo,Stieg Larsson,"fiction, mystery, thriller, crime","A journalist and a brilliant hacker investigate a decades-old disappearance on a remote island, uncovering a web of corruption."
And Then There Were None,Agatha Christie,"fiction, mystery, thriller, classic, crime","Ten strangers are lured to an isolated island where they begin dying one by one according to a nursery rhyme."
The Shining,Stephen King,"fiction, horror, thriller, psychological","A family moves into an isolated hotel for the winter, where a sinister presence drives the father toward madness."
It,Stephen King,"fiction, horror, thriller","A group of childhood friends reunite to confront a shape-shifting evil that terrorized their small town decades ago."
Dracula,Bram Stoker,"fiction, horror, gothic, classic","A young lawyer travels to Transylvania and encounters a centuries-old vampire with plans to move to England and spread the undead curse."
Frankenstein,Mary Shelley,"fiction, horror, gothic, classic, science-fiction","A young scientist creates a living creature from dead matter, but his creation becomes a tortured outcast seeking vengeance."
The Notebook,Nicholas Sparks,"fiction, romance, contemporary","An elderly man reads a love story to a woman with dementia, recounting their passionate and enduring romance across decades."
Me Before You,Jojo Moyes,"fiction, romance, contemporary, drama","A quirky young woman becomes caretaker to a paralyzed man, and their unlikely bond transforms both of their lives."
Outlander,Diana Gabaldon,"fiction, romance, historical, adventure, fantasy","A World War II nurse is transported back in time to 18th-century Scotland, where she falls in love with a Highland warrior."
The Fault in Our Stars,John Green,"fiction, romance, young-adult, contemporary","Two teenagers with cancer fall in love and travel to Amsterdam to meet the reclusive author of their favorite book."
A Game of Thrones,George R.R. Martin,"fiction, fantasy, epic, political","Noble families fight for control of a vast kingdom while an ancient threat rises beyond a massive wall of ice."
The Alchemist,Paulo Coelho,"fiction, fantasy, philosophical, adventure","A young shepherd travels from Spain to Egypt in search of a treasure, learning about destiny and the language of the world."
The Hitchhiker's Guide to the Galaxy,Douglas Adams,"fiction, science-fiction, comedy, adventure","After Earth is demolished to make way for a hyperspace bypass, an ordinary man is swept into a hilarious galactic adventure."
Slaughterhouse-Five,Kurt Vonnegut,"fiction, science-fiction, classic, literary, war","A soldier becomes unstuck in time, reliving moments from his life including the firebombing of Dresden during World War II."
The Martian,Andy Weir,"fiction, science-fiction, adventure, thriller","An astronaut is stranded alone on Mars and must use his ingenuity to survive until rescue arrives."
Ready Player One,Ernest Cline,"fiction, science-fiction, adventure, dystopian","In a bleak future, a teenager searches for an Easter egg hidden inside a vast virtual reality world, competing against a powerful corporation."
Sapiens,Yuval Noah Harari,"non-fiction, history, science, philosophy","A sweeping history of humankind from the Stone Age to the present, exploring how biology and culture shaped our species."
Educated,Tara Westover,"non-fiction, memoir, biography","A woman raised in a survivalist family in Idaho escapes her abusive household and earns a PhD from Cambridge."
Becoming,Michelle Obama,"non-fiction, memoir, biography, inspirational","The former First Lady reflects on her roots, her career, and her years in the White House."
The Power of Habit,Charles Duhigg,"non-fiction, psychology, self-help, science","An exploration of the science behind habits and how understanding them can transform our lives, businesses, and societies."
"Thinking, Fast and Slow",Daniel Kahneman,"non-fiction, psychology, science, economics","A Nobel laureate explains the two systems of thought that drive our decisions: fast intuitive thinking and slow deliberate reasoning."
The Subtle Art of Not Giving a F*ck,Mark Manson,"non-fiction, self-help, philosophy, humor","A counterintuitive approach to living a good life by learning to prioritize what truly matters and let go of the rest."
Atomic Habits,James Clear,"non-fiction, self-help, psychology, productivity","A practical guide to building good habits and breaking bad ones, using small changes to achieve remarkable results."
The Silent Patient,Alex Michaelides,"fiction, mystery, thriller, psychological","A famous painter shoots her husband and then stops speaking entirely. A criminal psychotherapist becomes obsessed with uncovering her motive."
The Woman in the Window,A.J. Finn,"fiction, mystery, thriller, psychological","An agoraphobic woman spying on her neighbors believes she witnesses a crime, but no one believes her account."
Big Little Lies,Liane Moriarty,"fiction, mystery, thriller, contemporary, drama","Three women in a wealthy coastal town become entangled in a murder investigation that exposes secrets and lies."
The Kite Runner,Khaled Hosseini,"fiction, literary, historical, drama","A man returns to Taliban-controlled Afghanistan to rescue the son of his childhood friend, confronting guilt and redemption."
A Thousand Splendid Suns,Khaled Hosseini,"fiction, literary, historical, drama, war","Two Afghan women from different generations form an unlikely bond as they endure decades of war and oppression."
Normal People,Sally Rooney,"fiction, literary, romance, contemporary, coming-of-age","Two Irish teenagers from different social backgrounds navigate an intense and complicated relationship through school and university."
Where the Crawdads Sing,Delia Owens,"fiction, mystery, literary, romance, coming-of-age","An abandoned girl raised in the marshes of North Carolina becomes a suspect in the murder of a local man."
Circe,Madeline Miller,"fiction, fantasy, mythology, literary, historical","The outcast daughter of the sun god Helios discovers her powers of witchcraft and carves out a life on a remote island."
The Song of Achilles,Madeline Miller,"fiction, fantasy, mythology, literary, romance","A retelling of the Iliad from the perspective of Patroclus, Achilles' closest companion, exploring love and glory in ancient Greece."
Project Hail Mary,Andy Weir,"fiction, science-fiction, adventure, thriller","A lone astronaut wakes up on a spacecraft with no memory and must solve a cosmic mystery to save Earth."
The Midnight Library,Matt Haig,"fiction, fantasy, contemporary, philosophical","A woman finds herself in a library between life and death, where each book lets her live a different version of her life."
Anxious People,Fredrik Backman,"fiction, contemporary, comedy, drama, mystery","A failed bank robber accidentally takes hostages during an apartment open house, leading to an absurd and heartwarming chain of events."
The House in the Cerulean Sea,TJ Klune,"fiction, fantasy, romance, contemporary, heartwarming","A caseworker for magical youth is sent to evaluate an orphanage on a remote island and discovers a found family."
Mexican Gothic,Silvia Moreno-Garcia,"fiction, horror, gothic, mystery, historical","A glamorous socialite investigates her cousin's mysterious illness at a decaying mansion in 1950s Mexico, uncovering dark family secrets."
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"fiction, literary, romance, historical, drama","An aging Hollywood icon finally reveals the truth about her glamorous and scandalous life to an unknown journalist."
Daisy Jones & The Six,Taylor Jenkins Reid,"fiction, literary, historical, music, drama","An oral history of the rise and fall of a fictional 1970s rock band and the creative forces that drove them apart."
Klara and the Sun,Kazuo Ishiguro,"fiction, science-fiction, literary, philosophical","An artificial friend observes the human world from a store window, hoping to be chosen by a customer and learn about love."
Piranesi,Susanna Clarke,"fiction, fantasy, mystery, literary, philosophical","A man lives in a vast house filled with ocean tides and marble statues, slowly uncovering the truth about his strange world."
The Invisible Life of Addie LaRue,V.E. Schwab,"fiction, fantasy, romance, historical, literary","A woman makes a deal with the devil in 1714 to live forever, but is cursed to be forgotten by everyone she meets."
Beach Read,Emily Henry,"fiction, romance, contemporary, comedy","Two writers with opposite genres swap styles for the summer in neighboring beach houses, discovering more than they expected."
People We Meet on Vacation,Emily Henry,"fiction, romance, contemporary, comedy","Two best friends who take annual vacations together try to fix their friendship after a falling out two years ago."
The Poppy War,R.F. Kuang,"fiction, fantasy, epic, war, historical","A war orphan gains admission to an elite military academy, discovers shamanic powers, and faces the horrors of a brutal war."
Mistborn: The Final Empire,Brandon Sanderson,"fiction, fantasy, epic, adventure","In a world of ash and darkness, a street thief joins a crew of rebels to overthrow an immortal tyrant using metal-based magic."
The Way of Kings,Brandon Sanderson,"fiction, fantasy, epic, adventure","On a war-torn world of storms and ancient mysteries, a soldier, a scholar, and a king face their destinies."
Neuromancer,William Gibson,"fiction, science-fiction, cyberpunk, thriller","A washed-up computer hacker is hired for one last job: a daring hack into a powerful artificial intelligence in cyberspace."
Snow Crash,Neal Stephenson,"fiction, science-fiction, cyberpunk, adventure, thriller","A pizza delivery driver and hacker investigates a new drug that affects users both in the virtual Metaverse and in reality."
The Left Hand of Darkness,Ursula K. Le Guin,"fiction, science-fiction, literary, political","An envoy from a galactic civilization visits a planet where people have no fixed gender, challenging assumptions about identity and politics."
Foundation,Isaac Asimov,"fiction, science-fiction, classic, political","A mathematician predicts the fall of a galactic empire and establishes a foundation to preserve knowledge and shorten the coming dark age."
Fahrenheit 451,Ray Bradbury,"fiction, science-fiction, dystopian, classic","In a future where books are banned and burned, a fireman begins to question his role and seeks forbidden knowledge."
The Road,Cormac McCarthy,"fiction, literary, dystopian, post-apocalyptic","A father and son walk through a devastated landscape, struggling to survive and maintain their humanity in a world without hope."
Station Eleven,Emily St. John Mandel,"fiction, science-fiction, literary, dystopian, post-apocalyptic","A traveling theater troupe performs Shakespeare in the scattered settlements that remain after a devastating pandemic wipes out civilization."
The Secret History,Donna Tartt,"fiction, literary, mystery, thriller, dark-academia","A group of elite classics students at a small Vermont college become involved in a murder that unravels their friendships."
Gone with the Wind,Margaret Mitchell,"fiction, classic, romance, historical, war","A headstrong Southern belle navigates love, loss, and survival during the American Civil War and Reconstruction."
Rebecca,Daphne du Maurier,"fiction, classic, gothic, mystery, romance","A young bride moves into her husband's grand estate and is haunted by the lingering presence of his glamorous first wife."
Wuthering Heights,Emily Bronte,"fiction, classic, gothic, romance, literary","On the wild Yorkshire moors, a passionate and destructive love between Heathcliff and Catherine Earnshaw spans generations."
Jane Eyre,Charlotte Bronte,"fiction, classic, gothic, romance, literary, coming-of-age","An orphaned governess falls in love with her brooding employer, but a dark secret threatens their happiness."
Les Miserables,Victor Hugo,"fiction, classic, historical, literary, drama","In post-revolutionary France, an ex-convict seeks redemption while a relentless inspector pursues him across decades of political upheaval."
Crime and Punishment,Fyodor Dostoevsky,"fiction, classic, literary, psychological, philosophical","A poor student commits murder and is consumed by guilt and paranoia as he grapples with morality and justice."
The Count of Monte Cristo,Alexandre Dumas,"fiction, classic, adventure, historical, drama","A wrongly imprisoned man escapes and uses a hidden fortune to exact elaborate revenge on those who betrayed him."
Sherlock Holmes: A Study in Scarlet,Arthur Conan Doyle,"fiction, classic, mystery, crime, detective","Dr. Watson meets the brilliant and eccentric Sherlock Holmes as they investigate a puzzling murder in London."
Murder on the Orient Express,Agatha Christie,"fiction, classic, mystery, crime, detective","Detective Hercule Poirot investigates a murder aboard a luxury train stranded in a snowdrift, where every passenger is a suspect."
The Girl on the Train,Paula Hawkins,"fiction, mystery, thriller, psychological","A woman who rides the same train every day becomes entangled in a missing persons investigation after witnessing something shocking."
In the Woods,Tana French,"fiction, mystery, thriller, crime, psychological","A Dublin detective investigates the murder of a child in the same woods where his childhood friends disappeared decades ago."
Dark Places,Gillian Flynn,"fiction, mystery, thriller, crime, dark","A woman whose family was murdered revisits the case decades later and discovers that the convicted killer may be innocent."
Sharp Objects,Gillian Flynn,"fiction, mystery, thriller, psychological, dark","A troubled journalist returns to her small hometown to cover a series of murders, confronting her own traumatic past."
The Name of the Rose,Umberto Eco,"fiction, mystery, historical, literary, philosophical","A Franciscan friar investigates a series of mysterious deaths at a medieval Italian monastery, uncovering forbidden knowledge."
Jurassic Park,Michael Crichton,"fiction, science-fiction, thriller, adventure","Scientists clone dinosaurs for a theme park, but chaos ensues when the creatures escape their enclosures."
World War Z,Max Brooks,"fiction, horror, science-fiction, war, thriller","An oral history of the global zombie pandemic, told through interviews with survivors from around the world."
The Exorcist,William Peter Blatty,"fiction, horror, thriller, supernatural","A mother seeks help from two priests when her young daughter begins exhibiting terrifying and unexplainable behavior."
Interview with the Vampire,Anne Rice,"fiction, horror, gothic, fantasy, literary","A vampire recounts his centuries-long life, from his transformation in 18th-century Louisiana to the modern day."
Coraline,Neil Gaiman,"fiction, fantasy, horror, young-adult, dark","A bored girl discovers a door to a parallel world that mirrors her own but hides a sinister secret."
American Gods,Neil Gaiman,"fiction, fantasy, mythology, literary, adventure","A recently released convict becomes bodyguard to a mysterious man who recruits the old gods of mythology for a coming war."
Good Omens,Neil Gaiman,"fiction, fantasy, comedy, supernatural","An angel and a demon who have grown fond of Earth team up to prevent the apocalypse."
The Handmaid's Tale,Margaret Atwood,"fiction, dystopian, literary, feminist, political","In a theocratic regime that has replaced the US, women are subjugated and one handmaid recounts her struggle for survival."
Never Let Me Go,Kazuo Ishiguro,"fiction, science-fiction, literary, dystopian","Three friends grow up at an idyllic English boarding school, slowly uncovering the disturbing truth about their existence."
Life of Pi,Yann Martel,"fiction, adventure, literary, philosophical, survival","A young man survives a shipwreck and shares a lifeboat with a Bengal tiger for 227 days on the Pacific Ocean."
The Book Thief,Markus Zusak,"fiction, historical, young-adult, literary, war","Narrated by Death, a young girl in Nazi Germany steals books and shares them with her neighbors and a hidden Jewish man."
All the Light We Cannot See,Anthony Doerr,"fiction, historical, literary, war","A blind French girl and a German soldier's paths converge in occupied France during World War II."
The Pillars of the Earth,Ken Follett,"fiction, historical, literary, epic, drama","In 12th-century England, the construction of a cathedral becomes the center of a saga of ambition, conflict, and love."
Shogun,James Clavell,"fiction, historical, adventure, epic, political","An English navigator shipwrecked in feudal Japan becomes entangled in the power struggles of warring samurai lords."
